image,cluster,confidence,median_h,std_h,median_s,green_ratio
ANG0007.jpg,1,0.3015,80.0,23.6,75.0,0.477
ANG0009.jpg,2,0.9705,29.0,3.1,112.0,0.41
ANG0011.jpg,3,0.9173,26.0,17.6,49.0,0.122
ANG0013.jpg,2,0.6636,40.0,8.2,78.0,0.895
ANG0002.jpg,2,0.9353,33.0,6.8,148.0,0.621
ANG0003.jpg,2,0.2761,40.0,10.0,117.0,0.907
ANG0004.jpg,2,0.8062,43.0,2.8,127.0,0.996
ANG0015.jpg,2,0.7986,42.0,11.8,128.0,0.912
ANG0016.jpg,3,0.4134,42.0,25.5,116.0,0.711
ANG0017.jpg,3,0.2677,20.0,13.6,123.0,0.137
ANG0018.jpg,2,0.6515,44.0,7.5,145.0,0.953
ANG0019.jpg,2,0.4098,47.0,7.8,186.0,0.992
ANG0020.jpg,2,0.9563,40.0,15.0,108.0,0.808
ANG0023.jpg,2,0.4348,43.0,6.2,176.0,0.971
ANG0024.jpg,2,0.2892,51.0,13.4,159.0,0.899
ANG0026.jpg,2,0.8258,54.0,12.4,62.0,0.717
ANG0027.jpg,3,0.6321,26.0,42.0,156.0,0.349
ANG0028.jpg,2,0.468,34.0,7.1,144.0,0.645
ANG0029.jpg,2,0.4306,44.0,15.7,98.0,0.883
ANG0031.jpg,2,0.6735,37.0,13.6,173.0,0.881
ANG0032.jpg,3,0.4577,42.0,28.3,68.0,0.496
