id,photo,groundSpot,peduncle,stripes,color,surface,label_source,labeled_at
ANG0002,ANG0002.jpg,creamy_yellow,,medium,balanced,minor_defects,manual_ground_truth,2026-08-27T08:27:44.302279
ANG0003,ANG0003.jpg,,,well_defined,acceptable,healthy,manual_ground_truth,2026-08-27T08:29:23.671891
ANG0004,ANG0004.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:30:01.809974
ANG0005,ANG0005.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:30:46.193929
ANG0006,ANG0006.jpg,,,,,,manual_ground_truth,2026-08-27T08:32:28.469545
ANG0007,ANG0007.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:33:09.587225
ANG0008,ANG0008.jpg,,,,,,manual_ground_truth,2026-08-27T08:33:35.685858
ANG0009,ANG0009.jpg,,,,,,manual_ground_truth,2026-08-27T08:34:00.490428
ANG0010,ANG0010.jpg,,,,,,manual_ground_truth,2026-08-27T08:34:23.547603
ANG0011,ANG0011.jpg,,,well_defined,acceptable,healthy,manual_ground_truth,2026-08-27T08:34:52.785250
ANG0013,ANG0013.jpg,,,well_defined,balanced,minor_defects,manual_ground_truth,2026-08-27T08:35:55.182551
ANG0014,ANG0014.jpg,,,,,,manual_ground_truth,2026-08-27T08:35:56.723308
ANG0015,ANG0015.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:36:56.279549
ANG0016,ANG0016.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:37:26.826857
ANG0017,ANG0017.jpg,yellow,,medium,poor,minor_defects,manual_ground_truth,2026-08-27T08:39:15.478709
ANG0018,ANG0018.jpg,,green,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:40:00.078356
ANG0019,ANG0019.jpg,,partly_dry,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:40:41.568820
ANG0020,ANG0020.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:41:11.860797
ANG0021,ANG0021.jpg,,,well_defined,acceptable,minor_defects,manual_ground_truth,2026-08-27T08:41:42.806011
ANG0022,ANG0022.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:42:48.580813
ANG0023,ANG0023.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:43:19.732203
ANG0024,ANG0024.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:43:55.505953
ANG0025,ANG0025.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:44:53.855803
ANG0026,ANG0026.jpg,,green,medium,balanced,healthy,manual_ground_truth,2026-08-27T08:45:34.089592
ANG0027,ANG0027.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:46:23.076255
ANG0028,ANG0028.jpg,creamy_yellow,,medium,acceptable,minor_defects,manual_ground_truth,2026-08-27T08:47:10.695565
ANG0029,ANG0029.jpg,light_yellow,,medium,acceptable,damaged,manual_ground_truth,2026-08-27T08:48:09.284627
ANG0030,ANG0030.jpg,,,well_defined,balanced,healthy,manual_ground_truth,2026-08-27T08:48:40.321152
ANG0031,ANG0031.jpg,,,medium,balanced,healthy,manual_ground_truth,2026-08-27T08:49:10.835754
ANG0032,ANG0032.jpg,yellow,,medium,balanced,damaged,manual_ground_truth,2026-08-27T08:51:54.590645
